cultures_developpees_3;n
ail;2016
artichauts;2016
asperges_en_production;2016
aubergines;2016
autres_cereales_n_c_a_niv_1;2016
autres_legumes_feuillus_et_a_tige_n_c_a_niv_1;2016
autres_oleagineux_lin_oeillette_ricin_n_c_a_niv_1;2016
autres_plantes_textiles_n_c_a_niv_1;2016
avoine;2016
betterave_industrielle;2016
betterave_potagere;2016
betteraves_industrielles_et_canne_a_sucre;2016
ble;2016
carottes;2016
celeri_rave;2016
celeris_branches;2016
cereales;2016
cereales_oleagineux_proteagineux;2016
chanvre_papier;2016
chicoree_a_cafe;2016
chou_fourrager;2016
choux;2016
colza_grain_et_navette;2016
cucurbitacees;2016
epinards;2016
feveroles_et_feves;2016
fraises;2016
haricots_frais;2016
haricots_secs_y_compris_semences;2016
lavande_et_lavandin;2016
legumes_a_cosse;2016
legumes_cultives_pour_le_fruit;2016
legumes_secs;2016
lentilles_y_compris_semences;2016
lin_textile;2016
lupin_doux;2016
mais_doux;2016
mais_grain_et_mais_semence;2016
navet_potager;2016
oignon_et_echalote;2016
oleagineux_y_c_semences;2016
orge_et_escourgeon;2016
petits_pois;2016
plantes_a_fibres_y_compris_semences;2016
poireaux;2016
pois_proteagineux;2016
pois_secs_pois_de_casserie_y_compris_semences;2016
poivron_piment_gombo;2016
pommes_de_terre_de_consommation;2016
pommes_de_terre_de_feculerie;2016
proteagineux_y_c_semences;2016
racines_bulbes_et_tubercules;2016
radis;2016
riz;2016
salades;2016
salsifis_et_scorsonere;2016
seigle_et_meteil;2016
soja;2016
sorgho_grain;2016
tabac;2016
tomate;2016
tournesol;2016
triticale;2016
autres_fourrages_annuels_n_c_a;2016
fourrages_annuels;2016
fourrages_annuels_prairies_non_permanentes_et_sth;2016
mais_fourrage_et_ensilage_plante_entiere;2016
prairies_non_permanentes;2016
prairies_non_permanentes_et_sth;2016
superficie_toujours_en_herbe_sth;2016
