groups;type_vegetation;n;;
agri_fire;arbuste_fougere;1;TBR;
agri_fire;avoine;5;avoine;
agri_fire;avoine_ble;1;avoine;
agri_fire;avoine_paille;1;avoine;
agri_fire;balle_de_paille;1;TBR;
agri_fire;ble;578;ble;#NOM?
agri_fire;ble_avoine;2;ble;
agri_fire;ble_broussaille;4;ble;
agri_fire;ble_chaume;49;ble;
agri_fire;ble_chaume_broussaille;1;ble;
agri_fire;ble_colza;2;ble;
agri_fire;ble_escourgeon_paille;1;ble;
agri_fire;ble_foin;1;ble;
agri_fire;ble_foret;2;TBR;
agri_fire;ble_fourrage;1;ble;
agri_fire;ble_haies;1;TBR;
agri_fire;ble_herbe_sous_bois;1;TBR;
agri_fire;ble_jachere;3;ble;
agri_fire;ble_lande_taillis;1;ble;
agri_fire;ble_lin_chaume;1;ble;
agri_fire;ble_mais;1;ble;
agri_fire;ble_orge;7;ble;
agri_fire;ble_orge_chaume;1;ble;
agri_fire;ble_paille;22;ble;
agri_fire;ble_pois_chiche_chaume;1;ble;
agri_fire;ble_prairie;1;ble;
agri_fire;ble_resineux;1;TBR;
agri_fire;ble_sous_bois;2;TBR;
agri_fire;bois;3;TBR;
agri_fire;bois_champ;2;TBR;
agri_fire;bois_chaume;1;TBR;
agri_fire;bois_garrigue_vigne;2;TBR;
agri_fire;bois_herbe_chaume;1;TBR;
agri_fire;bois_pre;1;TBR;
agri_fire;broussaille;155;STH;
agri_fire;broussaille_ble;1;STH;
agri_fire;broussaille_champ;6;STH;
agri_fire;broussaille_chaule;1;STH;
agri_fire;broussaille_chaume;4;STH;
agri_fire;broussaille_chene_vert;1;TBR;
agri_fire;broussaille_herbe_seche;5;STH;
agri_fire;broussaille_pre;1;STH;
agri_fire;broussaille_recolte;1;STH;
agri_fire;broussaille_vigne;1;STH;
agri_fire;broussailles;1;STH;
agri_fire;broussailles_chaumes_boqueteaux;1;STH;
agri_fire;cereale;66;cereale;
agri_fire;cereale_bois;1;TBR;
agri_fire;cereale_chaume;8;cereale;
agri_fire;cereale_paille;1;cereale;
agri_fire;cereales;1;cereale;
agri_fire;cereales_broussaille;1;STH;
agri_fire;champ;970;chaume;
agri_fire;champ_andain;1;paille;
agri_fire;champ_batiment;1;TBR;
agri_fire;champ_ble;1;ble;
agri_fire;champ_bois;2;TBR;
agri_fire;champ_bois_coupe;1;TBR;
agri_fire;champ_broussaille;34;Chaume;
agri_fire;champ_broussaille_bois;2;TBR;
agri_fire;champ_chaume;2;chaume;
agri_fire;champ_foret;1;TBR;
agri_fire;champ_friche;2;STH;
agri_fire;champ_fumier;1;chaume;
agri_fire;champ_herbe;5;STH;
agri_fire;champ_herbe_broussaille;1;STH;
agri_fire;champ_herbe_seche;2;STH;
agri_fire;champ_jachere;4;STH;
agri_fire;champ_orge;1;orge;
agri_fire;champ_paille;8;paille;
agri_fire;champ_pinede;1;TBR;
