groups;annee;mois;jour;code_commune;commune.x;surface_ha;type_vegetation;lieu_de_stockage;masse_tonne_matiere_seche;source;rmq;date;datemj;dateym;commune.y;departement;code_departement;geom;temperature_C;relative_humidity;wind_speed_ms
agri_fire;2002;7;16;85035;Bretignolles-sur-Mer;2,000;champ;NA;NA;ouest France;NA;2002-07-16;07-16;2002-07;LA BRETONNIERE-LA-CLAYE;VENDEE;85;c(-1.26773426545, 46.4879459421);19,41860351562502274;74,0376510620117;3,6250689029693604
agri_fire;2002;7;17;72128;Évaillé;2,000;recolte;NA;NA;ouest France;NA;2002-07-17;07-17;2002-07;EVAILLE;SARTHE;72;c(0.626909662566, 47.9002296748);16,63881835937502274;78,8355407714844;2,7601230144500732
agri_fire;2002;7;27;44096;Mésanger;2,000;paille;NA;NA;ouest France;NA;2002-07-27;07-27;2002-07;MESANGER;LOIRE-ATLANTIQUE;44;c(-1.22583390119, 47.4288834101);20,35146484375002274;78,4601745605469;2,4992482662200928
agri_fire;2002;7;29;53095;Épineux-le-Seguin;1,000;chaume;NA;NA;ouest France;NA;2002-07-29;07-29;2002-07;EPINEUX-LE-SEGUIN;MAYENNE;53;c(-0.350865340153, 47.941800225);21,28823242187502274;76,8545303344727;2,9294726848602295
agri_fire;2002;7;29;72259;Rouperroux-le-Coquet;3,000;paille;NA;NA;ouest France;NA;2002-07-29;07-29;2002-07;ROUPERROUX-LE-COQUET;SARTHE;72;c(0.438592972489, 48.2293569796);21,83510742187502274;73,9238204956055;3,0144329071044922
agri_fire;2002;7;29;72022;Le Bailleul;3,000;prairie;NA;NA;ouest France;NA;2002-07-29;07-29;2002-07;LE BAILLEUL;SARTHE;72;c(-0.179561724396, 47.7724310115);22,10854492187502274;71,9230499267578;2,8421623706817627
build_agri_fire;2002;8;4;85213;Rives-de-l’Yon (Saint-Florent-des-Bois);NA;foin_paille;hangar;NA;ouest France;NA;2002-08-04;08-04;2002-08;SAINTE-FOY;VENDEE;85;c(-1.69243074733, 46.5327600427);15,21474609375002274;93,7156600952148;1,9381105899810791
build_agri_fire;2002;8;10;85262;Saint-Philbert-de-Bouaine;NA;foin_paille;hangar;120,0;ouest France;NA;2002-08-10;08-10;2002-08;SAINT-PIERRE-DU-CHEMIN;VENDEE;85;c(-0.701777715154, 46.6957771744);14,27626953125002274;84,2534713745117;3,5389790534973145
build_agri_fire;2002;8;10;44164;Saint-Hilaire-de-Chaléons;NA;foin_paille;hangar;200,0;ouest France;NA;2002-08-10;08-10;2002-08;SAINT-HILAIRE-DE-CHALEONS;LOIRE-ATLANTIQUE;44;c(-1.87983637967, 47.0958948849);15,57509765625002274;80,5075378417969;4,4606676101684570
build_agri_fire;2002;8;14;44027;Casson;NA;foin_paille;hangar;200,0;ouest France;NA;2002-08-14;08-14;2002-08;CASSON;LOIRE-ATLANTIQUE;44;c(-1.55573718805, 47.3920308092);17,58339843750002274;85,9226074218750;2,1905009746551514
