commune;code_insee;departement;geo_point_2d
L'ABERGEMENT-CLEMENCIAT;1001;AIN;46.1534255214,4.92611354223
L'ABERGEMENT-DE-VAREY;1002;AIN;46.0091878776,5.42801696363
AMBERIEU-EN-BUGEY;1004;AIN;45.9608475114,5.3729257777
AMBERIEUX-EN-DOMBES;1005;AIN;45.9961799872,4.91227250796
AMBLEON;1006;AIN;45.7494989044,5.59432017366
AMBRONAY;1007;AIN;46.0055913782,5.35760660735
AMBUTRIX;1008;AIN;45.9367134524,5.3328092349
ANDERT-ET-CONDON;1009;AIN;45.7873565333,5.65788307924
ANGLEFORT;1010;AIN;45.9093715116,5.79516005674
APREMONT;1011;AIN;46.2054981558,5.65781475272
ARANC;1012;AIN;46.0015344029,5.51130637511
ARANDAS;1013;AIN;45.8908155275,5.49870439091
ARBENT;1014;AIN;46.2834936005,5.69061651221
ARBIGNIEU;1015;AIN;45.7237621545,5.65263086429
ARBIGNY;1016;AIN;46.4776762988,4.9599416863
ARGIS;1017;AIN;45.9337182132,5.48251100314
ARMIX;1019;AIN;45.8541838459,5.58357838695
ARS-SUR-FORMANS;1021;AIN;45.9934611,4.82199649494
ARTEMARE;1022;AIN;45.8695891748,5.69065283943
ASNIERES-SUR-SAONE;1023;AIN;46.3857281418,4.88387478623
ATTIGNAT;1024;AIN;46.2861802203,5.1795233845
BAGE-LA-VILLE;1025;AIN;46.3233203302,4.9528678933
BAGE-LE-CHATEL;1026;AIN;46.3077069231,4.92862084189
BALAN;1027;AIN;45.8311226453,5.10780019249
BANEINS;1028;AIN;46.1141214445,4.90146475101
BEAUPONT;1029;AIN;46.4288360203,5.26003405676
BEAUREGARD;1030;AIN;46.0008580204,4.75600664694
BELLIGNAT;1031;AIN;46.2373497134,5.6360052884
BELIGNEUX;1032;AIN;45.8591464826,5.13989505865
BELLEGARDE-SUR-VALSERINE;1033;AIN;46.1067901755,5.83202736464
BELLEY;1034;AIN;45.7494697806,5.68412365526
BELLEYDOUX;1035;AIN;46.2530316409,5.78471723698
BELMONT-LUTHEZIEU;1036;AIN;45.8847475883,5.65115788055
BENONCES;1037;AIN;45.8374974718,5.48285330863
BENY;1038;AIN;46.3188629218,5.28253433405
BEON;1039;AIN;45.8568920052,5.75220315052
BEREZIAT;1040;AIN;46.3674371012,5.04021655965
BETTANT;1041;AIN;45.9368718303,5.36667617009
BEY;1042;AIN;46.2191748844,4.84642690241
BEYNOST;1043;AIN;45.8390325448,4.99738002182
BILLIAT;1044;AIN;46.0791346715,5.76591818163
BIRIEUX;1045;AIN;45.9533995502,5.03666479984
BIZIAT;1046;AIN;46.2266794269,4.94084673168
BLYES;1047;AIN;45.8469686113,5.25166055884
LA BOISSE;1049;AIN;45.8446213549,5.02783224111
BOISSEY;1050;AIN;46.3727973545,4.9989764059
BOLOZON;1051;AIN;46.1960338503,5.47095075411
BOULIGNEUX;1052;AIN;46.0232774841,4.99252709276
BOURG-EN-BRESSE;1053;AIN;46.2051520382,5.24602125501
BOURG-SAINT-CHRISTOPHE;1054;AIN;45.8861934456,5.14349196896
BOYEUX-SAINT-JEROME;1056;AIN;46.0363677631,5.46322744717
BOZ;1057;AIN;46.4051688134,4.9135797178
BREGNIER-CORDON;1058;AIN;45.6416854652,5.61653371
BRENAZ;1059;AIN;45.9500082947,5.7371892334
BRENOD;1060;AIN;46.0759940484,5.61418361314
BRENS;1061;AIN;45.7135069062,5.68998154517
BRESSOLLES;1062;AIN;45.869423064,5.1009428902
BRION;1063;AIN;46.1686327301,5.54656422194
BRIORD;1064;AIN;45.7708330939,5.48537461884
BUELLAS;1065;AIN;46.2104135162,5.14487465017
LA BURBANCHE;1066;AIN;45.8598709332,5.54609714598
CEIGNES;1067;AIN;46.1256533435,5.49457379202
CERDON;1068;AIN;46.0720202633,5.47577586118
CERTINES;1069;AIN;46.1337950959,5.26239539372
CESSY;1071;AIN;46.315689376,6.0779844362
CEYZERIAT;1072;AIN;46.1832170988,5.32007207542
CEYZERIEU;1073;AIN;45.8335530148,5.71933090966
CHALAMONT;1074;AIN;46.0076491739,5.16936568
CHALEINS;1075;AIN;46.0340545373,4.79853838574
CHALEY;1076;AIN;45.9533367734,5.53682505273
CHALLES-LA-MONTAGNE;1077;AIN;46.1221539654,5.45755377201
CHALLEX;1078;AIN;46.1768358327,5.97115092939
CHAMPAGNE-EN-VALROMEY;1079;AIN;45.9316447397,5.69321890072
CHAMPDOR;1080;AIN;46.0198844188,5.60008759722
CHAMPFROMIER;1081;AIN;46.220365768,5.82233573131
