groups;annee;mois;jour;code_commune;commune.x;surface_ha;type_vegetation;lieu_de_stockage;masse_tonne_matiere_seche;source;rmq;date;datemj;dateym;commune.y;departement;lat;lon;code_departement
agri_fire;2002;7;16;85035;Bretignolles-sur-Mer;2,000;champ;NA;NA;ouest France;NA;2002-07-16;07-16;2002-07;LA BRETONNIERE-LA-CLAYE;VENDEE;46,4879459421;-1,267734265450000;85
agri_fire;2002;7;17;72128;Évaillé;2,000;recolte;NA;NA;ouest France;NA;2002-07-17;07-17;2002-07;EVAILLE;SARTHE;47,9002296748;0,626909662566000;72
agri_fire;2002;7;27;44096;Mésanger;2,000;paille;NA;NA;ouest France;NA;2002-07-27;07-27;2002-07;MESANGER;LOIRE-ATLANTIQUE;47,4288834101;-1,225833901190000;44
agri_fire;2002;7;29;53095;Épineux-le-Seguin;1,000;chaume;NA;NA;ouest France;NA;2002-07-29;07-29;2002-07;EPINEUX-LE-SEGUIN;MAYENNE;47,9418002250;-0,350865340153000;53
agri_fire;2002;7;29;72259;Rouperroux-le-Coquet;3,000;paille;NA;NA;ouest France;NA;2002-07-29;07-29;2002-07;ROUPERROUX-LE-COQUET;SARTHE;48,2293569796;0,438592972489000;72
agri_fire;2002;7;29;72022;Le Bailleul;3,000;prairie;NA;NA;ouest France;NA;2002-07-29;07-29;2002-07;LE BAILLEUL;SARTHE;47,7724310115;-0,179561724396000;72
build_agri_fire;2002;8;4;85213;Rives-de-l’Yon (Saint-Florent-des-Bois);NA;foin_paille;hangar;NA;ouest France;NA;2002-08-04;08-04;2002-08;SAINTE-FOY;VENDEE;46,5327600427;-1,692430747330000;85
build_agri_fire;2002;8;10;85262;Saint-Philbert-de-Bouaine;NA;foin_paille;hangar;120,0;ouest France;NA;2002-08-10;08-10;2002-08;SAINT-PIERRE-DU-CHEMIN;VENDEE;46,6957771744;-0,701777715154000;85
build_agri_fire;2002;8;10;44164;Saint-Hilaire-de-Chaléons;NA;foin_paille;hangar;200,0;ouest France;NA;2002-08-10;08-10;2002-08;SAINT-HILAIRE-DE-CHALEONS;LOIRE-ATLANTIQUE;47,0958948849;-1,879836379670000;44
build_agri_fire;2002;8;14;44027;Casson;NA;foin_paille;hangar;200,0;ouest France;NA;2002-08-14;08-14;2002-08;CASSON;LOIRE-ATLANTIQUE;47,3920308092;-1,555737188050000;44
agri_fire;2002;8;16;61167;Anceins;1,000;chaume;NA;NA;ouest France;NA;2002-08-16;08-16;2002-08;LA FERTE-FRENEL;ORNE;48,8362459554;0,508544741133000;61
agri_fire;2002;8;16;61331;Le Plantis;1,000;paille;NA;NA;ouest France;NA;2002-08-16;08-16;2002-08;LE PLANTIS;ORNE;48,6037546825;0,397038776409000;61
build_agri_fire;2002;8;17;35085;Combourg;NA;foin_paille;hangar;95,0;ouest France;NA;2002-08-17;08-17;2002-08;COMBOURG;ILLE-ET-VILAINE;48,4083560805;-1,745194350190000;35
agri_fire;2002;8;19;61100;la Chapelle-Viel;50,000;cereale;NA;NA;ouest France;NA;2002-08-19;08-19;2002-08;LA CHAPELLE-VIEL;ORNE;48,7099526297;0,612218004614000;61
agri_fire;2002;8;22;53052;champfrémont;7,000;broussaille;NA;NA;ouest France;NA;2002-08-22;08-22;2002-08;CHAMPFREMONT;MAYENNE;48,4329079781;-0,104054621774000;53
